condition,param_str,APSC_minProb_mean,AMPC_minProb_mean,CDBF_minProb_mean,APSC_meanVx,AMPC_meanVx,CDBF_meanVx
icy,prior0p30p05mesvar0p05emax3,0.402,0,0,5.39133773592037,5.03652394527565,12.7437785030864
normal,prior0p30p05mesvar0p05emax3,0.5275,0,0,5.82213966418782,8.49874431934011,3.99420362930943
dry,prior0p30p05mesvar0p05emax3,0.414,0.034,0.092,72.8258590583428,6.41451543367164,10.3703687744329
icy,prior0p30p05mesvar0p05emax5,0.5005,0,0.003,6.08140088520271,7.28018459065432,7.91805339038032
normal,prior0p30p05mesvar0p05emax5,0.701,0,0,7.77869432557315,8.13749755790261,18.545920634107
dry,prior0p30p05mesvar0p05emax5,0.568,0.097,0.3905,6.10040614338301,6.91211613639393,7.73412990688697
icy,prior0p30p05mesvar0p05emax10,0.2825,0,0.0495,52.8042495723868,5.368868597872,17.060814332418
normal,prior0p30p05mesvar0p05emax10,0.5355,0,0,12.8937126576868,5.45980263228227,17.0786226145632
dry,prior0p30p05mesvar0p05emax10,0.8015,0.696,0.33,6.43343250624832,6.5392166851394,17.5284079191949
icy,prior0p30p05mesvar0p3emax3,0.435,0,0,5.41732774162623,5.05029106229505,11.2624933164781
normal,prior0p30p05mesvar0p3emax3,0.7735,0,0,6.69875770863343,8.33156518181397,21.448071001642
dry,prior0p30p05mesvar0p3emax3,0.669,0.051,0.0015,6.53688980965901,7.4227583270172,8.66583843563211
icy,prior0p30p05mesvar0p3emax5,0.525,0,0,5.60302663829444,6.83374726765868,11.1817522232212
normal,prior0p30p05mesvar0p3emax5,0.572,0,0,6.44875209709986,8.52849208244571,22.3073611038127
dry,prior0p30p05mesvar0p3emax5,0.5825,0.2935,0.357,6.40002525504467,6.36661456377144,7.74896071722046
icy,prior0p30p05mesvar0p3emax10,0.2945,0,0,8.16062047947497,8.36397312094864,10.7689592433719
normal,prior0p30p05mesvar0p3emax10,0.4475,0,0,7.49722945574108,9.59734135297951,14.9813637119357
dry,prior0p30p05mesvar0p3emax10,0.668,0.387,0.686,6.94542040787322,7.05829670846403,10.8209086451701
icy,prior0p30p3mesvar0p05emax3,0.3,0,0,4.95953033165197,6.90516942803694,10.8584159458387
normal,prior0p30p3mesvar0p05emax3,0.7135,0,0,6.83874507780799,9.02180283019331,17.9017769274954
dry,prior0p30p3mesvar0p05emax3,0.41,0.0455,0,6.28616716481256,7.91894076414448,20.4943764846966
icy,prior0p30p3mesvar0p05emax5,0.5225,0,0,5.83198802655107,5.43789249290435,13.9855963941428
normal,prior0p30p3mesvar0p05emax5,0.4875,0,0,7.08169468026231,7.97918402585755,16.2921392089683
dry,prior0p30p3mesvar0p05emax5,0.27,0.1805,0.05,6.02762159025395,7.47640300484915,26.2348406374543
icy,prior0p30p3mesvar0p05emax10,0.4,0.038,0,19.2951046449429,5.57622877457341,6.86154054030644
normal,prior0p30p3mesvar0p05emax10,0.419,0,0,7.28017503426219,8.31149529726957,12.3958633609318
dry,prior0p30p3mesvar0p05emax10,0.509,0.131,0.4015,6.20981379936433,7.87060329517502,18.4162647268165
icy,prior0p30p3mesvar0p3emax3,0.4215,0,0,4.73963837697078,6.33607398263425,8.54275328088414
normal,prior0p30p3mesvar0p3emax3,0.7775,0,0,6.80967069509321,6.83363666199802,15.3279799681481
dry,prior0p30p3mesvar0p3emax3,0.5315,0,0.0005,6.17370069108162,6.96073077142753,17.0612392306609
icy,prior0p30p3mesvar0p3emax5,0.486,0.0005,0.01,6.41222911510159,4.94309797975594,10.1817743322284
normal,prior0p30p3mesvar0p3emax5,0.6485,0,0,6.83973446072097,8.8768583079974,16.8026958874462
dry,prior0p30p3mesvar0p3emax5,0.7465,0.14,0.197,6.75031340648079,7.20440786969559,8.3653165873997
icy,prior0p30p3mesvar0p3emax10,0.264,0.0415,0.1445,6.25074322076238,4.965409123074,17.6873359587385
normal,prior0p30p3mesvar0p3emax10,0.3935,0,0,7.95832960148672,10.0591099909381,18.8884081843127
dry,prior0p30p3mesvar0p3emax10,0.698,0.6605,0.686,6.67558292170333,6.79649117302188,7.04960280712453
icy,prior0p50p05mesvar0p05emax3,0.5085,0,0,5.70173615967282,5.85643664854612,11.5484317705841
normal,prior0p50p05mesvar0p05emax3,0.663,0,0,6.07471074631758,6.23713729781709,9.29751169548375
dry,prior0p50p05mesvar0p05emax3,0.5355,0.0435,0,5.9856784875265,7.60921019274719,10.7066310466468
icy,prior0p50p05mesvar0p05emax5,0.463,0,0,5.78929130773754,5.14821588306254,10.5804747741416
